,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
111,4Y19K5BKM0ENrG2bfxIvBTCJAKwpJfwhYgTrYkrMZeDepG8,국산 오스카,182,I,71,55,False,False,True,False
112,dRsjALtyR1IynqeCxdIe4uRrWP_Hw4qNZ0WeXUdeP-r4Rh4,viper3,362,I,44,37,False,False,False,False
113,E4gIlb9M1WPOU4UKNUfgfBJE4KKfiavZdsxgPwecZpHWpdo,아라드레인저출동,288,I,34,21,False,False,True,True
114,OOOWRZt6A-4xgsbVfk_FaJFMOr3GONP4RkkiKwa8AQ-LrBY,Vital0,227,I,44,26,False,False,True,True
115,jEbYr9FCYavrHb-hEp5_s395xnh28Ix3gOJtjfwRuMsaCUQ,따뿅 람머스,431,I,74,43,False,False,True,False
116,xoLb3NNrTfN-FY0XZhqioipaVBaUrymXhGeQkirpoLFQSA,밧형육,241,I,60,56,False,False,True,False
117,MdzpNXHDPX4B9OICEuD-VkbLXmbRjqthLuoOEnyEv89KBg8,Liiv Effort,401,I,36,18,False,False,False,False
118,5stww8QJDyO8lPgqAWS8cxARJ1ozQj-fHA8SdL8bMw8Z2A0,미북이,334,I,64,55,False,False,True,True
119,t1Sas-erF3C2_-5oO0q-oZicFphLEe5LUGgRPyfZT9YMC_M,사랑하지 않아,436,I,77,48,False,False,True,False
120,BcsLZ-2D7ae6XSOaMZnVXl7VgZE9ynVmqZzTiJ-rf5wcyGs,1574965746,228,I,89,77,False,False,True,False
121,tsLqmQTNj2AHYZQI4s7kUJ8Thjkfn-lN3hvPCNvR_Skj5QQ,콩이닝,478,I,61,42,False,False,False,False
122,TTeprF7cDNa4tJ8hbbXJikLAA7iY11awP1AkM5OTBcjG9uE,원딜 왕자 이채환,210,I,106,103,False,False,True,False
123,7m7kxKTmPQc2FCSmfROIf9j4BbDZx2XE1vbNaUT8J8rIh1A,FA STOPPER,209,I,63,52,False,False,True,True
124,-gRHhUGr66Fs9YSok8vauLlXcDCmVrvpnRHSxHU97Opyu6ilnJBF2Ogo0w,블루주지마세요,321,I,113,98,False,False,True,False
125,-KlEA_2DE5b8E6suFFU8qp2ASF4A8NzirbTTiFV8Yk3Zdq6q,후디옴팡,218,I,43,31,False,False,True,False
126,HoOY226FqF-gFbm8tCMLRQunY7WpFVKyKbEE_c3_VGjWcnQ,Bvave,248,I,52,32,False,False,True,False
127,RaCVtqw--FhEHcWLakCIyMHc-JdCpqgf1p4to5i4fFxlGsg,동순공듀,244,I,73,39,False,False,True,False
128,g5MfOpY9_mabE66AV8RkFZhLdNa2SSGKjBVszdMvQpHFhDc,장수열,210,I,81,62,False,False,True,False
129,sS6-FY8A2-uDNxFUydB1N9fa9GspkK7Wam4Cb2GsxX6LG_g,zzzusss,439,I,54,41,False,False,True,True
130,j06UMoxr5L_eqfyO7XCBJDGDainVe8q4Zl3X2YTBdvSSg9k,KT Dove,496,I,123,99,False,False,False,True
131,o2leJXQt4dbXn8GGCNa3I_nh8tS8GkqQ4xFSAu7dKAEpsX0,엑스칼렛,314,I,67,44,False,False,True,True
132,RYOd1VDYPh23Y625xbjDaRuEsgSR0oDyPg_FzoH9b5X31QE,난아직할수있어,254,I,90,75,False,False,True,False
133,NOJPkwx-ggP5DT8MoezWaWsMKR-tY5phY2KXIbWOO8dnW9w,KT 5kld,339,I,77,62,False,False,False,False
134,k0VViC2Un8wG0SR4JMJcryH7wFq2TH-caYgC0eSty5BvPC6PF0MG9UPX-A,인생이루시퍼,187,I,147,140,False,False,True,False
135,ST-GplKFqLmJYpcm1n7svBNbowvhccw9JWPzYpOXkYeEAIM,낌다빈입니다,326,I,119,110,True,False,False,False
136,MYZ7zTqV3MM1shTo-aa6wjeCJkG5tE6VKgYqMjdcxEcB1dE,ADD on win,313,I,52,47,False,False,False,False
137,lYskaLm-smbySwc33OYgvaWwRmxkJk8z1LWjDP7H9wrifV8,Fanch,327,I,75,69,False,False,True,True
138,u6lyanJjXT5oWRL7flX_mGb5WDf3KB6W9Nu-4Q5vYJMbiwIu1h5oBBkd2A,rdym,467,I,105,76,False,False,True,False
139,OzK2ElYQcKmh67CqDnCBLwS6rnDRAgJ9xFaTfwU-A05eh8g,qi77,201,I,63,51,False,False,False,True
140,O956483c4Qrn6UHNHgv5XK_y_d24oXx49Hl6fvzZwzY809c,크림몬,439,I,78,52,False,False,True,True
141,fnHyrRv72rHxcnTHH36shwm06CcJAW0zGSozDS54p-C_oEQ,FA Ruby,273,I,85,77,False,False,True,False
142,BV4oNASDS5OOeYXthg1HLsnx59nhwAmfmTkjTP04GzKM7hc,IlIiillIiiI,376,I,73,35,False,False,True,False
143,7A9WxJDEG_4uRtJXYUIpzZkI-y87pdrRkQuymkgIU53a454,Liiv Route,437,I,110,92,False,False,True,False
144,98r35hzC1H4y4vajxeAX2vjAqPXZ5FaEJUYQa7Or0kVl9go,AF Minit,260,I,107,108,True,False,False,False
145,ciQDe11c2FixJOSz6hW1_7qsNws-XMIr0Kh-Z9_COi2OA-8,T1 Berserker,396,I,51,42,False,False,False,False
146,3ALfxoqn37IUYidIv9PeqUEm6SN4-j3bSAWdIDzLiiDF5eA,자기합리화마인드,218,I,76,56,False,False,True,False
147,Bc3YLQnOHuh90H4D3wMMy1yNvM_OSmzL7Vxg64B8epywx2I,i no hope,441,I,42,24,False,False,True,False
148,3jTxy7uzn--ukRHbzsd_GeAihqwQIxmz4gs-Be8HagmkssE,IG Q1749193239,386,I,100,82,False,False,False,True
